Council,Acute Diarrhoea (<14 Days),Acute Ear Infection,Acute Flaccid Paralysis,Acute Glumerulonephritis,Animal Bite (Suspected Rabies),Animal Bites (No Suspected Rabies),Anthrax,Birth Asphyxia,Bronchial Asthma,Burn,Cardiac Failure,Cerebral Palsy,Cholera,Chronic Ear Infection,Congenital Disorders,Diabetes Mellitus,Diarrhea Chronic (>= 14 Days),Dysentery,Ectopic Pregnancy,Epilepsy,"Eye Diseases, Non-Infectious",Eye Infection,"Eye Infections, Other",Fractures,"Gastrointestinal Diseases, Other Non-Infectious",Gynaecological Diseases,Hepatitis,Hypertension,Infant of Diabetic Mother,Kwashiorkor,Leprosy,Low Birth Weight And Prematurity Complication,Lymphatic Filariasis,Malaria Severe BS +Ve,Malaria Severe Clinical,Malaria Severe mRDT +ve,Marasmic Kwashiorkor,Marasmus,Measles,Meningitis,Mild/Moderate Anaemia,Moderate Malnutrition,"Neonatal Septicaemia, Infections",Neonatal Tetanus,Neoplasms,Nephorotic Syndrome,Neurosis,Non-Infectious Ear Diseases,Non-Infectious Liver Diseases,"Nutritional Disorders, Other",Osteomyelitis,Other Cardiovascular Diseases,Other Diagnosis,Peptic Ulcers,Plague,"Pneumonia, Non-Severe","Pneumonia, Severe",Poisoning,Psychoses,Rabies / Suspected Rabied Bites,Relapsing Fever (Louse Borne Typhus),Renal Failure,Respiratory System disorders other,Rheumatic Fever,Rheumatoid And Joint Diseases,Road Traffic Accidents,STI Genital Discharge Syndrome (GDS),STI Genital Ulcer Diseases (GUD),STI Pelvic Inflammatory Diseases,Schistosomiasis,Severe Anaemia,"Sexually Transmitted Infection, Other",Sickle Cell Disease,"Skin Diseases, Non-Infectious",Skin Infections,Soil Transmitted Helminths,Substance Abuse,Symptomatic Hiv Infection,Thyroid Diseases,Tuberculosis,Typhoid,Upper Respiratory Infections,Urinary Tract Infections,Viral Haemorrhagic Fevers
Arusha CC,521,17,0,2,0,2,3,665,56,266,23,0,0,1,231,12,74,15,0,34,5,0,4,106,183,36,0,13,0,9,0,919,0,82,27,0,81,29,0,0,151,36,579,1,11,4,0,5,6,8,7,15,3311,31,0,1111,1247,89,21,0,0,2,0,100,0,19,0,0,0,1,111,0,33,7,24,1,0,42,0,42,5,436,163,0
Arusha DC,168,0,0,0,0,0,0,50,20,31,4,0,0,1,12,1,6,4,0,10,3,0,3,15,25,1,0,1,0,22,0,190,0,4,1,0,17,66,0,0,10,33,57,1,5,0,0,0,1,12,4,0,139,1,0,428,698,19,0,0,0,0,0,2,1,8,0,0,0,0,5,0,1,1,11,0,0,14,1,9,0,94,10,0
Karatu DC,125,8,1,1,0,3,0,6,33,34,1,0,0,1,1,1,7,19,0,5,0,0,7,9,223,6,0,2,0,10,0,28,0,42,0,1,2,1,0,0,31,20,42,0,0,1,0,2,9,3,0,2,355,3,0,1192,363,38,0,1,0,0,0,2,2,8,0,0,0,0,37,0,0,6,4,1,0,2,1,6,31,309,54,0
Longido DC,24,1,0,0,0,0,0,0,9,8,0,0,0,0,1,0,5,2,0,5,0,0,2,2,27,1,0,0,0,3,0,1,0,4,1,0,1,3,0,0,4,2,2,0,0,0,0,1,0,0,0,2,20,0,0,106,66,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,21,8,0
Meru DC,115,6,3,1,0,4,2,27,6,52,0,0,0,0,42,1,7,2,0,4,2,0,2,23,101,0,0,0,0,1,0,62,0,43,0,0,2,0,0,0,3,13,102,0,1,14,0,3,0,1,0,0,226,0,0,556,861,15,0,8,0,3,0,1,0,10,0,0,0,1,3,0,2,4,17,10,0,4,0,4,1,80,74,0
Monduli DC,197,14,6,0,0,4,1,21,7,28,0,0,0,1,0,2,14,12,0,6,0,0,11,10,43,14,0,0,0,0,0,13,0,28,0,0,10,11,0,0,59,25,67,0,0,1,0,0,1,9,0,7,89,0,0,359,456,8,5,0,0,0,0,7,0,11,0,0,0,0,27,0,2,6,4,0,0,19,0,18,3,52,60,0
Ngorongoro DC,344,7,0,1,0,2,13,8,3,44,8,0,0,4,9,2,7,10,0,1,1,0,28,15,25,0,0,3,0,8,0,12,0,35,6,0,62,18,0,0,214,15,17,0,0,6,0,0,1,10,1,5,403,1,0,677,400,18,0,4,0,0,0,0,2,3,0,0,0,0,33,0,0,2,8,7,0,7,0,45,30,64,58,0
Ilala MC,1044,15,0,1,0,4,0,1058,179,52,17,0,0,6,19,21,194,11,0,45,0,0,0,3,106,206,0,6,0,57,0,743,0,1605,303,0,160,75,0,0,241,86,1544,1,2,14,0,2,3,4,0,10,1794,25,0,904,995,25,0,1,0,0,0,12,1,0,0,0,0,4,621,0,105,2,10,2,0,40,0,24,2,301,206,0
Kigamboni MC,188,1,0,0,0,0,0,0,1,46,1,0,0,0,1,3,4,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,314,40,0,21,1,0,0,15,2,1,0,0,1,0,1,31,0,0,0,95,11,0,66,213,23,0,0,0,0,0,0,0,6,0,0,0,0,44,0,12,0,0,0,0,5,88,4,13,44,163,0
Kinondoni MC,646,18,6,1,0,6,0,746,134,233,40,0,0,20,11,26,72,29,0,15,23,0,4,39,72,47,0,11,0,18,0,351,0,1116,355,0,94,13,0,0,214,54,1384,2,2,12,0,7,1,28,4,27,417,8,0,481,692,73,0,2,0,1,0,24,4,44,0,0,0,0,189,0,45,11,5,0,0,50,10,32,60,552,285,9
